group,replicate,fastq_1,fastq_2,strandedness
CC_18_F,1,/projects/carter-lab/MTHFR/data/RNAseq/34164_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34164_R2.fastq.gz,reverse
CC_18_F,2,/projects/carter-lab/MTHFR/data/RNAseq/34165_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34165_R2.fastq.gz,reverse
CC_18_F,3,/projects/carter-lab/MTHFR/data/RNAseq/34195_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34195_R2.fastq.gz,reverse
CC_18_F,4,/projects/carter-lab/MTHFR/data/RNAseq/34196_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34196_R2.fastq.gz,reverse
CC_18_F,5,/projects/carter-lab/MTHFR/data/RNAseq/38410_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/38410_R2.fastq.gz,reverse
CC_18_F,6,/projects/carter-lab/MTHFR/data/RNAseq/38494_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/38494_R2.fastq.gz,reverse
CC_18_M,1,/projects/carter-lab/MTHFR/data/RNAseq/00001_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/00001_R2.fastq.gz,reverse
CC_18_M,2,/projects/carter-lab/MTHFR/data/RNAseq/00002_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/00002_R2.fastq.gz,reverse
CC_18_M,3,/projects/carter-lab/MTHFR/data/RNAseq/00003_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/00003_R2.fastq.gz,reverse
CC_18_M,4,/projects/carter-lab/MTHFR/data/RNAseq/00004_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/00004_R2.fastq.gz,reverse
CC_18_M,5,/projects/carter-lab/MTHFR/data/RNAseq/34183_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/34183_R2.fastq.gz,reverse
CC_18_M,6,/projects/carter-lab/MTHFR/data/RNAseq/38490_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/38490_R2.fastq.gz,reverse
CC_6_F,1,/projects/carter-lab/MTHFR/data/RNAseq/08963_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/08963_R2.fastq.gz,reverse
CC_6_F,2,/projects/carter-lab/MTHFR/data/RNAseq/08964_R1.fastq.gz,/projects/carter-lab/MTHFR/data/RNAseq/08964_R2.fastq.gz,reverse
